
Frequency	# of Samples Observed In
84be185b0abf6a11f1a2b77f3f13d10f	91	1
1817ff27d04ea32befe6c79926580049	91	1
a1383eb2d32e3633313c37957fcfdff1	91	1
d6e32c148b5390c3da8f1dab10c9b2cc	91	1
b09c65d662a9a22cee371180c2e8f6dc	91	1
b56324e5e74311a783a280780a46e64c	90	1
4eb13fefdc27793f43ec0806ba16a2fb	90	1
cbee8345b6734240455a39670ae9844a	90	1
cf42e8120153e4086cf89ac78b6f8498	90	1
ad572d6665c48a566b6a0a457a3cc2d0	89	2
26308dbaa167dd12e2c9ac4ae889f5ea	89	1
cfd72e501e5343df1e6e6728f0c0b795	89	1
e6bd2579b9d8eeafb6d5d4f6704685a9	88	1
09f41ab1d43b40a27a73a445ea0799fc	88	1
b2d8ccb2f5ab9cb3fe60bf0056a99a14	88	1
1a238d8d27380cea23b31afa23a9a9ea	88	1
08a27b0fb2109ad25d1c6450b531808b	87	1
2ad229afd91d70de7c0d2812c77ea28e	87	1
36936cbd6a32802acf2c299d6ee55da9	87	1
6545ff98a0070862049861923c9f7e24	87	1
b600b02eb6f8abc02ab9942106da7e43	86	1
25506fe4461465bd970050a91f9116eb	86	1
281109e259a03605237bfd3b6e691989	86	1
abcc6b87771993eb2fed59921464a2e6	86	1
79af4c0143609a6a36054cd485c10136	86	1
b2e18e938c967b4024fa484286e7300a	86	1
c6335b23b63a81bac00ce2b731fae54d	86	1
50dac53f77c82d810c010eed82e6a679	85	1
4f27e9d071821fccd76e605f3668860a	85	1
91ff49bb36ca3c97b79d86603336c33f	85	1
fdf7731ee83bce2642d9237a55c30050	85	2
84661bf368bdf26d3712f2fa47557c74	84	2
9e529fb4a8a8c4a8084e33e82a08f394	84	1
fe847bf80d3721b44149eb80a9a807e6	84	1
906261c0e2ebd4575b3d653728ba2cc0	84	1
0396d1cb7ffccf1fd8e3be2af75f90fc	83	1
3ae8afa0729698b27cf47493c9715879	83	1
39c3042d183e449aef267cc3a5cfb06f	83	1
2bebfa4bdfaaa9ee22a08890bd2344e4	83	1
626d20c92a541b6308eda104655e9374	82	1
896d8d04bbb64c7cac7e24a0331da1dd	82	1
6cd229fbf240b2bad0e6ec2aab85e659	82	1
cec3ae32917dbbc35871660cadf3db58	82	1
b1d1d8e6b3f2d0f040a66ee1aa5e36ce	81	1
dc7b9cd4c2f4d68676d18982c812478f	81	1
01bc0ec96007731091f85530a9c57259	81	1
eb6a3d12a1cb6b52ce5a0e0a5ca19012	80	1
9630b4142ab8e50e56f394e3cf4ab7e5	80	1
e11921f8121bd1938629380110a01413	80	1
816ee01952715fea98fc5408ee466416	80	1
3166268fe4d672617fcf048d38c81827	79	1
86ca4ddbf1a105f889659d36eb6b1793	78	1
98ed571f0883edf165f2e4ea090e9a60	78	2
5810c71b8970a08eab4b89a133bdd5c5	78	1
fce46a0be8969bbefaf00c66807232ac	78	1
25d3d19c2437758e0deaabe2fcedde84	78	2
f908ed9612442ad13ce0429736031b20	78	2
